[0.00 - 3.40]:  Hola Daniela, buenos días. ¿Qué tal?
[4.12 - 5.88]:  Buenos días, muy bien. ¿Y tú?
[6.22 - 7.38]:  Muy bien también, gracias.
[8.14 - 9.82]:  Bueno, vamos a empezar con la charla.
[10.00 - 14.60]:  En primer lugar, quería preguntarte si estás de acuerdo con participar en la charla y en el estudio.
[15.38 - 16.98]:  Estoy totalmente de acuerdo.
[17.54 - 19.72]:  ¿Y estás de acuerdo con que sea grabada esta conversación?
[20.40 - 21.48]:  Totalmente de acuerdo.
[22.02 - 25.54]:  Genial. ¿Se te han explicado los objetivos del estudio?
[26.04 - 26.44]:  Sí.
[27.06 - 27.92]:  ¿Y lo has entendido?
[27.92 - 29.92]:  A la perfección.
[30.74 - 36.00]:  Genial. Pues bueno, Daniela, primero quería saber cuándo y cómo llegaste a España.
[36.96 - 40.92]:  Bueno, yo llegué en el año 2022, en febrero.
[41.56 - 46.44]:  ¿Cómo llegué? Pues llegué porque fue una decisión personal.
[47.76 - 56.10]:  Quería cambiar de rumbo, quería cambiar, darle otro estilo de vida a mi vida
[56.10 - 59.08]:  y tomé la decisión de venir a España.
[60.68 - 63.96]:  Perfecto. ¿Y Andalucía fue en ese mismo momento o fue más adelante?
[64.90 - 67.50]:  Llegué directamente a Córdoba, Andalucía.
[67.50 - 74.94]:  Genial. Y, ¿aquí llegaste sola o viniste a España sola o viniste acompañada?
[74.94 - 80.46]:  Bueno, al viaje lo hice sola, pero había alguien que me estaba esperando.
[80.46 - 88.66]:  Vale. Bueno, tú ya llevas mucho tiempo aquí, así que te voy a ir preguntando y tú ve contándome
[88.66 - 88.84]:  como quieras.
[88.84 - 98.80]:  como quieras contarme, ¿vale? Quería saber a qué entidades o a qué organismos, piensa tanto en organismos públicos como privados, entidades como esta,
[99.46 - 107.60]:  ha acudido en tu estancia aquí en Andalucía y qué servicios ha solicitado en estos organismos o en estas entidades.
[107.60 - 118.82]:  Bueno, he acudido a varios. Principalmente he venido a Córdoba Coge, que me han ayudado muchísimo.
[120.06 - 136.30]:  He ido a Cruz Blanca, he ido a Cruz Roja, a MZC, he ido a una en Sevilla que se llama Hogar Betania.
[137.60 - 141.32]:  Pues no creo que me escape otra, no.
[142.52 - 147.44]:  Vale. ¿Y qué tipo de servicio ha solicitado en estas entidades?
[148.22 - 161.32]:  Bueno, he solicitado orientación laboral, de formación, ayudas, porque he estado en momentos difíciles.
[162.32 - 167.32]:  De documentación también he solicitado que me orienten, que me expliquen.
[167.60 - 169.52]:  Y ya está.
[170.54 - 175.88]:  Vale. ¿Y otros organismos tipo sanitario, jurídico?
[177.20 - 188.12]:  Sí, sí. En estas entidades me han ayudado a lo de las tarjetas sanitarias, a sacar una cita, cómo sacarla, me han explicado todo.
[188.12 - 196.58]:  Y en jurídicos también he tenido cita con la abogada, donde le he hecho preguntas, inquietudes.
[197.02 - 197.58]:  Ella me ha explicado.
[197.60 - 204.70]:  Me ha explicado todo muy bien, el proceso de documentación, qué debo de hacer, qué no debo de hacer.
[205.50 - 209.02]:  Todo me lo ha explicado muy bien. Entonces, sí, sí.
[210.04 - 221.78]:  Vale. En relación a demandas de ayudas más específicas, ¿ha recibido acceso a alimentación, ayudas de vivienda desde que llegaste aquí a Andalucía?
[222.38 - 227.58]:  Bueno, en este tipo de ayudas sí he solicitado y me han ayudado con la ayuda.
[227.58 - 234.28]:  Yo he solicitado ayudas de alimento, porque en este momento estoy con una niña, con mi niña de ocho años.
[234.98 - 244.62]:  Entonces, en este momento estoy en situación de desempleada y he solicitado ayudas de alimentos y me la han brindado.
[245.84 - 247.90]:  No en todas, pero sí en algunas.
[248.54 - 248.58]:  Perfecto.
[248.58 - 249.48]:  Perfecto.
[249.76 - 256.58]:  En relación al ámbito sanitario que antes te preguntaba, me comentabas que te han orientado con la tarjeta,
[257.58 - 265.80]:  el acceso. ¿Qué tal ha sido la atención? Bueno, primero el acceso en sí a estas instalaciones sanitarias en Andalucía
[265.80 - 269.20]:  y la atención en estas instalaciones sanitarias en Andalucía.
[270.14 - 271.28]:  Bueno, en realidad…
[271.28 - 276.38]:  Ya en concreto en los centros de salud, en los hospitales, no tanto aquí en la mediación, sino allí la atención.
[277.04 - 284.88]:  Exactamente, sí. Como vengo de un país latino, la diferencia se nota mucho. ¿Por qué?
